Array Design Name	Affymetrix GeneChip Murine Genome U74Av2 [MG_U74Av2]
Comment[AdditionalFile:CDF]	MG_U74Av2.CDF
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-6
Comment[SubmittedName]	Affymetrix GeneChip Murine Genome U74Av2 [MG_U74Av2]
Technology Type	in_situ_oligo_features
Surface Type	glass
Term Source Name	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	mgd	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																		

Composite Element Name	Comment[AECompositeName]	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[kegg]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
AFFX-MurIL2_at	AFFX-MurIL2_at	M16762	AAN77290	d3inkc_	NM_008366	IL2	AFFX-MurIL2_at	96548	16183	IPR000779	IPB000779	2.4.2.36	7110653	Mm.14190	ENSMUSG00000027720				
AFFX-MurIL10_at	AFFX-MurIL10_at	M37897	P18893	d1vlk__	NM_010548	IL10	AFFX-MurIL10_at	96537	16153	IPR000098	IPB000098		6754318	Mm.874	ENSMUSG00000016529				
AFFX-MurIL4_at	AFFX-MurIL4_at	M25892	P07750	d1hzia_	NM_021283	IL4	AFFX-MurIL4_at	96556	16189	IPR002354	IPB001325		14030446	Mm.371	ENSMUSG00000000869				
AFFX-MurFAS_at	AFFX-MurFAS_at	M83649	BAC39766	d1e41a_	NM_007987	death	AFFX-MurFAS_at	95484	14102	IPR001368	IPB001368		6679751	Mm.1626	ENSMUSG00000024778				
AFFX-BioB-5_at	AFFX-BioB-5_at	J04423					AFFX-BioB-5_at												
AFFX-BioB-M_at	AFFX-BioB-M_at	J04423					AFFX-BioB-M_at												
AFFX-BioB-3_at	AFFX-BioB-3_at	J04423					AFFX-BioB-3_at												
AFFX-BioC-5_at	AFFX-BioC-5_at	J04423					AFFX-BioC-5_at												
AFFX-BioC-3_at	AFFX-BioC-3_at	J04423					AFFX-BioC-3_at												
AFFX-BioDn-5_at	AFFX-BioDn-5_at	J04423					AFFX-BioDn-5_at												
AFFX-BioDn-3_at	AFFX-BioDn-3_at	J04423					AFFX-BioDn-3_at												
AFFX-CreX-5_at	AFFX-CreX-5_at	X03453					AFFX-CreX-5_at												
AFFX-CreX-3_at	AFFX-CreX-3_at	X03453					AFFX-CreX-3_at												
AFFX-BioB-5_st	AFFX-BioB-5_st	J04423					AFFX-BioB-5_st												
AFFX-BioB-M_st	AFFX-BioB-M_st	J04423					AFFX-BioB-M_st												
AFFX-BioB-3_st	AFFX-BioB-3_st	J04423					AFFX-BioB-3_st												
AFFX-BioC-5_st	AFFX-BioC-5_st	J04423					AFFX-BioC-5_st												
